latitude,longitude,tpi_15m
45.62399816318352,-122.8965572875359,
47.51875155485988,-121.03759776559905,-63.25537109375
42.09745705866222,-117.86550806374356,-24.8997802734375
39.65085710061668,-114.571206476339,
44.71163861824087,-117.50303468133774,7.214111328125
47.26375401898325,-122.23579791835436,-5.922649383544922
40.953583983754754,-116.20322330811366,34.531005859375
44.93151230750747,-117.16680149392153,-17.8773193359375
43.42253553535588,-120.52241522029132,2.3353271484375
42.12504308354018,-117.41495347396352,
45.00160473327245,-117.02462713801168,-67.972412109375
47.89541439341511,-117.81349084034616,-9.27178955078125
45.20679926177559,-122.41508692876062,-0.390625
48.26081842941099,-123.93778666360636,
46.00807069686786,-117.68142534502655,122.9967041015625
44.86920496094585,-117.67333898929134,
42.06770458156202,-123.3230699517704,
46.201270971955765,-118.1780214908542,
42.738571736029776,-120.54168315030756,
39.33716288075723,-114.30965851094815,
47.20117739712837,-122.7003706435758,
43.74907044271939,-120.76448577137408,
47.68667681688588,-117.16643524240888,
35.169666245612774,-119.54115325616188,
43.69891937563854,-117.06253212771668,
39.00069599679996,-114.48986148913828,
39.65456942624869,-114.56236206885131,
35.791769362507445,-119.802994402248,
36.5859452831558,-116.28987847286363,
45.33147397290872,-116.38889000282636,
44.86477210920238,-117.73737604295724,
44.19548878615405,-117.14372856979104,
36.2885868295424,-116.0234171217923,
43.3873998690211,-120.89701253464374,
44.893832907244345,-117.049531192051,
47.12670797027202,-122.95201511451016,
36.48236103917842,-114.13175184848228,
48.40770661310757,-122.67406673937684,
46.758533161443246,-117.10471875172644,
44.41538576884066,-121.99949705499968,
48.67971293312608,-122.32628256741523,
45.12932155231347,-116.85841704829988,
43.2531101891178,-120.60603323735964,
47.28597502951585,-117.56374444920746,
43.49503687760359,-120.63158575977336,
44.42114307058195,-122.17988044851668,
36.1357132619361,-116.10204925880232,
46.27249799036176,-118.44617993989324,
43.63578557916455,-117.49624204432688,
45.4014362000036,-122.00557701414056,
42.30088955149883,-123.2794419151505,
40.98681333317232,-116.74667252959163,
35.89567551950915,-119.78305165738672,
42.037398792408574,-117.68395925862718,
36.475183691946704,-114.90831134224142,
45.70331339144406,-122.20423663275018,
46.39901320842839,-120.40813552465433,
39.33742914860273,-114.30431205888962,
42.21066813041389,-117.43211089238704,
42.49838796566975,-120.74868205445529,
48.340972048790576,-122.30352175469662,
47.269863883409215,-121.51369489095438,
36.43562383621952,-117.8281596444455,
40.4985475763992,-116.93153856656583,
44.478119714702295,-117.36140870196223,
44.43197727431114,-122.8820974065028,
36.64542385868375,-114.6324877150794,
42.20965563257388,-120.83905176022944,
39.96003028569206,-114.48037609665587,
36.47451531510065,-117.60833688225696,
38.43492205908609,-119.11157137065176,
42.79698015014777,-117.2650975518085,
42.57331650269909,-117.27340347053234,
42.00213432797592,-117.07309838419314,
43.840712489425286,-117.1669088834057,
36.61522585447975,-117.8211347676208,
36.99954936583931,-114.68907653967608,
44.690013439902415,-117.10410072684316,
47.54088171824793,-117.41061567276462,
42.10984378846832,-117.48716611306926,
46.706950326535136,-120.7302449373922,
46.50070683015416,-117.3235074929772,
46.97098065870357,-118.55496071795466,
46.25075731352213,-117.04467636867736,
42.58530185085903,-123.2694634421978,
44.07733725047688,-117.80469823249972,
42.82751678133876,-123.74516053518948,
42.67853142912048,-123.39879187223734,
42.25270849620262,-120.92774271462966,
43.68745626040592,-120.88755197984182,
45.50080023665453,-122.78239944542356,
47.71666157071439,-122.18956933862114,
38.0086989350832,-114.48446189030348,
44.74717748577173,-117.8898201687014,
46.14859417471733,-120.46627479898766,
36.23703009980644,-117.92870265287456,
38.63409156001322,-119.03234218361536,
47.30999900552074,-122.63681434087168,
35.545241540254075,-119.71824318116856,
47.4350726841284,-122.71729579019468,
46.2945477732317,-118.80933855311096,
36.82086287741839,-117.49072337837605,
42.92723229469188,-117.304565484712,
39.37903134555318,-114.05695924630176,
44.16168660979867,-117.38106863083355,
43.67418796442783,-117.0993177351477,
48.73727541664596,-123.11012526352282,
48.18522490595516,-123.12494705601172,
46.2405815536341,-120.95385967569298,
48.45446187928096,-123.19220410475565,
39.9691784087916,-114.77101889471668,
35.727410890062835,-119.12942393392228,
40.92707719898488,-116.35101928381911,
47.36221390718582,-122.5374388305776,
47.40672163395382,-122.64955321978248,
39.011354829102885,-114.34022563795288,
46.86475855475235,-117.80372181825358,
46.17732318753473,-117.76062864466448,
38.59049720570978,-119.50232089186622,
35.87549125469598,-119.85898870482818,
46.25449914166507,-118.64678097969104,
38.83101837368871,-114.40270162473138,
47.0384805448458,-117.6275278872198,
48.321786325148494,-122.49947609395998,
43.111134337173496,-117.19712144174808,
42.73794432527073,-123.28058302520002,
