elevation,slope,aspect,tri,lith_score,presence,latitude,longitude
671.6419677734375,11.264827728271484,152.00929260253906,4.594146728515625,0.4,0,46.27107930179881,-120.76856000029008
415.9375,4.753006935119629,318.9668884277344,1.9742202758789062,0.4,0,36.0784315793602,-114.28060655580609
436.9190979003906,11.194968223571777,322.9693908691406,5.092937469482422,0.4,0,42.24236071446491,-123.63267423664901
594.9164428710938,0.8562480807304382,144.60658264160156,0.5804672241210938,0.4,0,36.2400473363915,-114.91598024468854
751.1402587890625,2.073711395263672,186.3910675048828,0.8708114624023438,0.4,0,43.996785155535974,-117.2780707339659
1519.000244140625,4.083846569061279,14.911418914794922,1.77471923828125,0.4,0,40.897853288945996,-116.38293177354814
572.4742431640625,24.207372665405273,126.48768615722656,10.407005310058594,0.4,0,46.00031298714088,-116.71707578529858
553.0908813476562,10.832616806030273,142.25831604003906,4.507850646972656,0.4,0,46.75854266854875,-117.66425778695334
62.718109130859375,2.941507339477539,270.4476013183594,1.3590435981750488,0.4,0,48.17104427380548,-122.25742115372613
902.2467041015625,30.859037399291992,238.67535400390625,15.891204833984375,0.4,0,36.128044737987395,-117.39962625281824
999.536376953125,7.248490810394287,23.299406051635742,3.1071701049804688,0.4,0,36.89470237047449,-117.66854174934585
89.74263763427734,0.5892970561981201,127.39726257324219,0.22505664825439453,0.4,0,47.68902246971202,-122.38484076201668
542.4508666992188,0.3880222737789154,57.757423400878906,0.1604156494140625,0.4,0,47.69158309562607,-117.47988086084213
1.2570916414260864,0.18938599526882172,212.23773193359375,0.06709285080432892,0.4,0,48.11704073996683,-123.06460673856739
1746.9117431640625,14.514447212219238,130.63204956054688,6.1573333740234375,0.4,0,44.15934258152618,-117.68817660489795
58.1906852722168,0.03295604884624481,129.6395721435547,0.01196432113647461,0.4,0,35.9469518714554,-119.7183978988071
685.3158569335938,21.56641960144043,310.872802734375,9.501541137695312,0.4,0,42.636702680432094,-123.02957780668314
1422.480224609375,4.80728006362915,276.1058654785156,2.083038330078125,0.4,0,45.80933469294811,-116.0410873219262
467.7417907714844,4.100291728973389,269.9558410644531,1.6987419128417969,0.4,0,48.50426088029118,-123.62806028522591
1508.94677734375,1.2941988706588745,148.83621215820312,0.580169677734375,0.4,0,42.32722222904394,-120.39855961362233
253.15939331054688,2.380019426345825,37.677711486816406,2.442913055419922,0.4,0,46.10116820682422,-118.77749325004753
1455.3458251953125,25.84852409362793,305.4713439941406,11.576873779296875,0.4,0,46.17201581891716,-117.77068560060326
1125.25341796875,4.729038238525391,216.1341094970703,3.10931396484375,0.4,0,44.743578537029094,-117.62524287890247
2464.50244140625,15.00473690032959,135.46841430664062,6.6064453125,0.4,0,39.43481182825329,-114.23989302169075
1133.6817626953125,12.523975372314453,303.3763122558594,5.2514190673828125,0.4,0,47.355234525956476,-121.49840353974969
382.45269775390625,9.517396926879883,10.231268882751465,3.8122482299804688,0.4,0,46.25167972361923,-118.50756925856182
763.3406982421875,25.388307571411133,123.79095458984375,10.908378601074219,0.4,0,42.837267910586824,-123.85768380233459
1759.847900390625,4.166929721832275,344.08062744140625,1.804168701171875,0.4,0,45.24202085323864,-116.96274253951198
1166.0206298828125,11.007072448730469,168.08047485351562,5.9268035888671875,0.4,0,44.94442193845374,-122.26907062655206
579.30322265625,0.9526510834693909,338.31036376953125,0.42621612548828125,0.4,0,46.50418686979436,-117.84111284627275
439.9161071777344,7.282032489776611,61.22992706298828,3.0372085571289062,0.4,0,46.59677453019003,-117.74098130348595
1448.0513916015625,7.73220157623291,114.90126037597656,3.404937744140625,0.4,0,44.96922297843323,-117.41253469836585
1263.271484375,7.145639896392822,324.1432189941406,2.8911285400390625,0.4,0,43.693824225010836,-117.56664018167481
436.08172607421875,1.0053753852844238,79.97298431396484,0.3898200988769531,0.4,0,46.78158006901142,-118.54368004542049
776.9926147460938,2.220848560333252,218.25901794433594,0.9377288818359375,0.4,0,36.7674314018181,-114.94514240230583
1399.8538818359375,13.543665885925293,88.470703125,5.815673828125,0.4,0,44.46743292574466,-122.04310267996657
80.86550903320312,0.47399669885635376,262.89129638671875,0.1637096405029297,0.4,0,44.609550365190415,-122.99355072555244
772.111083984375,1.7038012742996216,263.9455261230469,1.0429534912109375,0.4,0,46.98166770562286,-117.16932223632409
646.6322631835938,44.05297088623047,266.62005615234375,22.365745544433594,0.4,0,46.719880287097695,-120.81084710861127
1183.141845703125,22.988847732543945,186.92318725585938,8.852752685546875,0.4,0,47.19824320446503,-121.18038082309243
673.7976684570312,25.224279403686523,129.24610900878906,11.537765502929688,0.4,0,45.72605367890228,-122.22667976222982
1705.0623779296875,0.375643789768219,334.53814697265625,0.15472412109375,0.4,0,38.644038854782366,-114.09331355260989
1486.3936767578125,0.9405908584594727,288.9708251953125,0.375579833984375,0.4,0,40.3258974555676,-116.45372277520212
142.3368682861328,24.236284255981445,271.111572265625,11.452106475830078,0.4,0,48.676819710958256,-122.97008423138394
883.6810302734375,3.2935731410980225,157.20008850097656,1.3276214599609375,0.4,0,36.5497787836977,-114.97312908088517
2602.70068359375,7.659117698669434,264.1654052734375,3.30413818359375,0.4,0,39.09114903441232,-114.9448289532253
