rank,longitude,latitude,elevation,slope,aspect,tri,lith_score,prob,composite,ecoregion,cell,composite_norm
14,-117.41138888221502,46.93916666476523,701.6017,2.1770875,24.719458,0.99742126,1.0,0.8663656714677609,0.8930925371742087,east,47.0_-117.0,0.7885633405854682
15,-122.98083333265095,44.48083332878728,88.6883,0.23613505,68.93269,0.105690956,1.0,0.9138336603521772,0.9310669282817419,west,44.0_-123.0,0.7663800956574846
16,-118.39749999438696,46.99472222038055,540.43024,2.9634259,19.419434,0.9140167,1.0,0.8631163102210256,0.8904930481768205,east,47.0_-118.0,0.7603506299162709
17,-117.84194443823375,47.91138888803335,522.11597,2.2352827,21.235128,0.86424255,1.0,0.8371775787685956,0.8697420630148764,east,48.0_-118.0,0.5351365432003978
18,-117.32805554879204,47.5224999987261,700.5436,7.646548,3.0963542,3.4213104,1.0,0.8369940368812879,0.8695952295050304,east,48.0_-117.0,0.5335429333278457
19,-117.34194443769587,46.38361110861202,562.1254,8.38102,2.3180687,3.3096542,1.0,0.8358380152092794,0.8686704121674236,east,46.0_-117.0,0.5235057283256415
20,-120.77249999694195,43.32805554976937,1346.1992,2.6459358,7.0287957,1.067215,1.0,0.8342547273414698,0.8674037818731759,east,43.0_-121.0,0.5097587672681587
21,-120.31416666311554,42.1058333262323,1532.706,7.643387,2.205092,3.5345612,1.0,0.8338492947279657,0.8670794357823726,east,42.0_-120.0,0.5062385821757371
22,-118.84194443930954,46.34194444190053,280.49396,9.1569805,13.530308,3.2713547,1.0,0.8303978317084256,0.8643182653667405,east,46.0_-119.0,0.4762711146762228
23,-122.89749999922797,47.00861110928438,56.042355,11.348522,342.53772,4.2160378,1.0,0.8063642628285188,0.8450914102628151,west,47.0_-123.0,0.4586646121775693
24,-117.28638888208054,44.11972221728769,738.98615,2.6979702,30.081701,1.0860977,1.0,0.8276442765172358,0.8621154212137887,east,44.0_-117.0,0.4523632601713544
25,-120.09194444065426,46.41138888641968,407.5272,2.9162512,27.04558,1.2517204,1.0,0.8248106223660355,0.8598484978928285,east,46.0_-120.0,0.4277599432010703
26,-120.28638888530789,43.99472221715322,1307.4487,2.5632248,26.404623,1.0507812,1.0,0.8231823593636868,0.8585458874909495,east,44.0_-120.0,0.413622483715832
27,-120.42527777434618,42.71694443800083,1335.2377,1.0360388,21.285799,0.42744446,1.0,0.8225733089253853,0.8580586471403082,east,43.0_-120.0,0.40833437861024674
28,-117.74472221590695,42.93916666046212,1163.8168,2.3139336,9.012785,1.1143188,1.0,0.8159289341304824,0.852743147304386,east,43.0_-118.0,0.3506443252637178
29,-120.64749999680747,46.689166664496284,465.40173,3.796866,16.994637,1.5491943,1.0,0.8152268958228956,0.8521815166583167,east,47.0_-121.0,0.3445488492157596
30,-123.31416666634287,42.994722216077434,188.4565,0.40920508,160.85399,0.15257263,1.0,0.7549308750225189,0.8039447000180151,west,43.0_-123.0,0.31139617892661414
31,-116.82805554825416,40.96694443611822,1588.5743,2.8436956,4.6725082,1.1081085,1.0,0.7964789284127447,0.8371831427301959,east,41.0_-117.0,0.18176886262314132
32,-117.88361110494525,42.439166659924226,1338.0417,1.2670935,2.2861142,0.5030365,1.0,0.79281690940103,0.834253527520824,east,42.0_-118.0,0.14997323419111755
33,-120.9391666637879,42.07805554842464,1623.354,2.391326,2.31334,1.0242767,1.0,0.7892146772222898,0.8313717417778319,east,42.0_-121.0,0.11869670735859611
34,-122.02249999828666,44.008611106057046,1462.9344,0.5319489,245.02579,0.23257446,1.0,0.6864181893010058,0.7491345514408048,west,44.0_-122.0,0.11522485297625024
35,-120.96694444159556,43.96694443934555,1092.1531,1.141869,21.646528,0.5113983,1.0,0.7871855810747446,0.8297484648597957,east,44.0_-121.0,0.10107899785085957
36,-123.59194444441948,42.27249999307826,410.18777,0.37969995,284.17593,0.14632797,1.0,0.6721756105095296,0.7377404884076237,west,42.0_-124.0,0.07444429479125525
37,-123.3697222219582,42.439166659924226,274.22995,0.19486967,110.68836,0.12295151,1.0,0.6636500633126672,0.7309200506501339,west,42.0_-123.0,0.05003322579800256
38,-117.10583332633075,43.00861110498127,1329.1027,1.2761503,13.569584,0.66363525,1.0,0.7810389566619711,0.824831165329577,east,43.0_-117.0,0.047710682362996644
39,-116.38361110333159,40.675277769137786,1597.5365,1.0011184,1.5275254,0.42520142,1.0,0.7792524840959559,0.8234019872767648,east,41.0_-116.0,0.03219956193153136
40,-120.60583333009598,46.43916666422734,266.65067,1.0941967,3.5149298,0.46611023,1.0,0.7766010717620905,0.8212808574096724,east,46.0_-121.0,0.009178566923589605
41,-123.88361111139992,42.81416666032764,714.1207,1.2407932,81.31755,0.53795624,1.0,0.6461759974259974,0.716940797940798,west,43.0_-124.0,0.0
42,-119.71694444025084,38.95305554506284,1470.9775,1.0166003,7.3107843,0.46446228,1.0,0.7755439425832681,0.8204351540666146,east,39.0_-120.0,0.0
