taxon,latitude,longitude,source,lithology,lith2,geo_age,lith_score,dist_to_water_m
Cervus,46.3177805,-122.2757242,idigbio,Basalt,Basaltic-andesite,Phanerozoic - Cenozoic - Tertiary-Paleogene - Oligocene,0.15,172395.06116735557
Cervus,46.3304708,-122.0854128,idigbio,Andesite,Basalt,Phanerozoic - Cenozoic - Tertiary-Paleogene - Oligocene,0.15,162955.84290682728
Cervus,46.2797295,-122.0046198,idigbio,Andesite,,Phanerozoic - Cenozoic - Tertiary-Neogene - Middle-Miocene,0.15,154805.12260403764
Cervus,46.2595805,-121.9941814,idigbio,Andesite,,Phanerozoic - Cenozoic - Tertiary-Neogene - Middle-Miocene,0.15,153053.59668912285
Cervus,46.2740805,-122.26528,idigbio,Basalt,,Phanerozoic - Cenozoic - Quaternary - Holocene,0.15,168202.5092239752
Cervus,46.3322805,-122.0775745,idigbio,Andesite,Basalt,Phanerozoic - Cenozoic - Tertiary-Paleogene - Oligocene,0.15,162523.16998007736
Cervus,47.87184787476581,-123.66928901165402,idigbio,Graywacke,Slate,Phanerozoic - Cenozoic - Tertiary-Neogene - Miocene,0.7,315095.88906699617
Cervus,46.3485903,-122.1166596,idigbio,Andesite,Basalt,Phanerozoic - Cenozoic - Tertiary-Paleogene - Oligocene,0.15,166032.19852950127
Cervus,46.2120195,-122.0772134,idigbio,Andesite,,Phanerozoic - Cenozoic - Tertiary-Neogene - Middle-Miocene,0.15,153575.29642293564
Cervus,46.2813195,-122.01508,idigbio,Andesite,,Phanerozoic - Cenozoic - Tertiary-Neogene - Middle-Miocene,0.15,155600.043573578
Cervus,46.3540194,-122.1297269,idigbio,Andesite,Basalt,Phanerozoic - Cenozoic - Tertiary-Paleogene - Oligocene,0.15,167203.9312238094
Cervus,47.049,-120.203,idigbio,Basalt,,Phanerozoic - Cenozoic - Tertiary-Neogene - Early-Pliocene,0.15,67070.92234176351
Cervus,46.2572,-122.2003,idigbio,Basalt,,Phanerozoic - Cenozoic - Quaternary - Holocene,0.15,163502.91487845685
Cervus,47.3806,-121.6453,idigbio,Silt,Sand,Phanerozoic - Cenozoic - Quaternary - Holocene,1.0,160258.12077163556
Cervus,46.3613806,-122.3069717,idigbio,Basalt,Basaltic-andesite,Phanerozoic - Cenozoic - Tertiary-Paleogene - Oligocene,0.15,177643.84407986933
Cervus,46.88319000361381,-121.88453629335586,idigbio,Basalt,,Phanerozoic - Cenozoic - Quaternary - Holocene,0.15,189142.39138367292
Cervus,47.6684275739,-122.3508772655,idigbio,Fine-detrital,Coarse-detrital,Phanerozoic - Cenozoic - Quaternary - Pleistocene,0.4,214348.99342353616
Cervus,46.3177805,-122.2809483,idigbio,Basalt,Basaltic-andesite,Phanerozoic - Cenozoic - Tertiary-Paleogene - Oligocene,0.15,172656.93228330347
Cervus,46.7155,-121.1224,idigbio,Basalt,,Phanerozoic - Cenozoic - Tertiary-Neogene - Early-Pliocene,0.15,139711.5672245579
Cervus,45.6720957553825,-118.78858895759504,idigbio,Sand,Gravel,Phanerozoic - Cenozoic - Quaternary - Holocene,1.0,108436.19386591128
Cervus,45.1,-122.8,idigbio,Clay,Silt,Phanerozoic - Cenozoic - Quaternary - Pleistocene,1.0,153101.5178302531
Cervus,45.95,-117.9833333,idigbio,Basalt,,Phanerozoic - Cenozoic - Tertiary-Neogene - Middle-Miocene,0.15,174546.41633990628
Cervus,45.97780396011344,-117.77386421961694,idigbio,Basalt,,Phanerozoic - Cenozoic - Tertiary-Neogene - Middle-Miocene,0.15,170175.86667504057
